"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/Auth.tsx", "TypeScript JSX", 15, 0, 0, 0, 3, 18
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/AuthorProfile.tsx", "TypeScript JSX", 77, 0, 0, 0, 6, 83
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/CommunityHome.tsx", "TypeScript JSX", 86, 0, 0, 0, 6, 92
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/CommunitySettings.tsx", "TypeScript JSX", 86, 0, 0, 0, 5, 91
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/CommunitySinglePost.tsx", "TypeScript JSX", 122, 0, 0, 1, 13, 136
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/CommunityUsers.tsx", "TypeScript JSX", 23, 0, 0, 0, 5, 28
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/ExploreCommunity.tsx", "TypeScript JSX", 77, 0, 0, 0, 5, 82
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/Home.tsx", "TypeScript JSX", 81, 0, 0, 2, 5, 88
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/ListCommunity.tsx", "TypeScript JSX", 77, 0, 0, 1, 10, 88
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/RootPage.tsx", "TypeScript JSX", 15, 0, 0, 0, 3, 18
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/SinglePost.tsx", "TypeScript JSX", 104, 0, 0, 0, 9, 113
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/SubmitPage.tsx", "TypeScript JSX", 156, 0, 0, 0, 12, 168
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/Test.tsx", "TypeScript JSX", 50, 0, 0, 2, 3, 55
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/UserProfile.tsx", "TypeScript JSX", 67, 0, 0, 0, 6, 73
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/UserSettings.tsx", "TypeScript JSX", 75, 0, 0, 0, 4, 79
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/pages/UserSinglePost.tsx", "TypeScript JSX", 97, 0, 0, 1, 12, 110
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/router/AppRouter.tsx", "TypeScript JSX", 170, 0, 0, 8, 2, 180
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/styles/FileUploadButton.css", "CSS", 0, 0, 21, 0, 3, 24
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/types/bookmarkTypes.ts", "TypeScript", 0, 16, 0, 0, 4, 20
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/types/commentTypes.ts", "TypeScript", 0, 38, 0, 0, 6, 44
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/types/communityTypes.ts", "TypeScript", 0, 59, 0, 0, 9, 68
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/types/generalTypes.ts", "TypeScript", 0, 12, 0, 0, 4, 16
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/types/postTypes.ts", "TypeScript", 0, 69, 0, 3, 9, 81
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/types/userTypes.ts", "TypeScript", 0, 47, 0, 0, 10, 57
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/utils/bookmarkUtils.ts", "TypeScript", 0, 19, 0, 3, 4, 26
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/utils/commentUtils.ts", "TypeScript", 0, 69, 0, 5, 8, 82
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/utils/communityUtils.ts", "TypeScript", 0, 222, 0, 23, 23, 268
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/utils/fileUtils.ts", "TypeScript", 0, 9, 0, 0, 2, 11
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/utils/generalUtils.ts", "TypeScript", 0, 6, 0, 1, 2, 9
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/utils/httpUtils.ts", "TypeScript", 0, 64, 0, 4, 7, 75
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/utils/postUtils.ts", "TypeScript", 0, 96, 0, 19, 18, 133
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/utils/userUtils.ts", "TypeScript", 0, 53, 0, 6, 10, 69
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 7538, 3949, 101, 249, 1025, 12862
